                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.60823,                 2.8112,                 1.4003,                0.63132,                 3.5573,                 1.3346,                0.67249,                0.24778,                  0.416,                0.24032,                  1.062,                 1.9597,                 1.7506,                0.97793,                 3.3847,                 1.5813,             0.00032836,             0.00032836,             0.00032836
                      2,                0.85743,                 1.1691,                 1.4789,                 0.8985,                 1.9696,                 1.4136,                0.74077,                0.59819,                0.69752,                0.38929,                 1.2038,                 1.1742,                  1.698,                 1.2178,                 1.9622,                 1.5731,             0.00065732,             0.00065732,             0.00065732
                      3,                0.97464,                 1.0573,                 1.4932,                 1.0808,                 1.5582,                 1.4369,                 0.7331,                0.68283,                0.73815,                0.38878,                 1.2988,                 1.1055,                 1.7014,                 1.4372,                 1.6479,                 1.6024,             0.00098189,             0.00098189,             0.00098189
                      4,                 1.0451,                 1.0306,                 1.5184,                 1.1624,                 1.3992,                 1.4739,                0.71674,                0.67361,                0.73137,                0.39653,                 1.2616,                 1.1234,                  1.621,                 1.4289,                 1.4712,                 1.5612,              0.0009802,              0.0009802,              0.0009802
                      5,                 1.0856,                0.99426,                 1.5053,                 1.2308,                 1.3151,                 1.4532,                0.77452,                0.68815,                0.76258,                0.42119,                 1.3261,                0.96808,                 1.6622,                 1.4607,                 1.2292,                 1.5958,              0.0009802,              0.0009802,              0.0009802
                      6,                 1.0697,                0.96713,                 1.4948,                 1.1984,                 1.2304,                 1.4471,                0.79773,                 0.7084,                0.78455,                0.42538,                 1.3525,                0.97053,                 1.6816,                 1.4839,                 1.2383,                 1.5925,              0.0009736,              0.0009736,              0.0009736
                      7,                 1.0609,                0.93276,                 1.4695,                 1.1971,                 1.1717,                 1.4261,                0.80242,                0.69631,                0.78283,                0.41603,                 1.3671,                0.94012,                 1.6505,                 1.4908,                 1.1809,                  1.581,               0.000967,               0.000967,               0.000967
                      8,                 1.0444,                   0.91,                 1.4612,                 1.1991,                 1.1273,                 1.4234,                 0.7977,                0.70529,                0.77845,                0.43858,                 1.2789,                0.92552,                 1.6031,                 1.4566,                 1.1515,                 1.5472,              0.0009604,              0.0009604,              0.0009604
                      9,                 1.0503,                0.91547,                 1.4737,                 1.2012,                 1.1108,                 1.4363,                0.78894,                0.71804,                0.78922,                0.44318,                 1.3176,                0.89751,                 1.6541,                 1.5094,                 1.0894,                 1.5994,              0.0009538,              0.0009538,              0.0009538
                     10,                 1.0491,                0.90624,                 1.4699,                 1.1964,                 1.1296,                 1.4285,                 0.8111,                0.72831,                0.81087,                0.44546,                 1.3322,                0.89757,                 1.6314,                 1.4411,                 1.0985,                 1.5492,              0.0009472,              0.0009472,              0.0009472
