                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0538,                  2.791,                 1.8859,                 1.0623,                 3.5629,                 1.7452,                0.62204,                0.15275,                0.34002,                0.18059,                 1.1764,                 2.0171,                 1.8922,                 1.0649,                 3.5166,                 1.6966,             0.00032836,             0.00032836,             0.00032836
                      2,                0.87037,                 1.2671,                 1.4876,                0.92626,                 2.0702,                  1.411,                 0.5838,                 0.6083,                0.61241,                0.32094,                 1.2312,                 1.2193,                 1.7132,                 1.2614,                 2.1013,                 1.5857,             0.00065732,             0.00065732,             0.00065732
                      3,                0.99242,                 1.1411,                 1.5013,                 1.0821,                 1.6907,                 1.4265,                0.71118,                0.63247,                0.70168,                0.36798,                 1.2922,                 1.2203,                 1.7265,                 1.3822,                 1.7067,                  1.618,             0.00098189,             0.00098189,             0.00098189
                      4,                 1.0694,                  1.111,                 1.5231,                 1.1491,                 1.5287,                  1.461,                 0.7004,                0.68169,                0.71571,                0.39162,                 1.2979,                 1.1314,                 1.6242,                 1.4246,                 1.4508,                  1.553,              0.0009802,              0.0009802,              0.0009802
                      5,                 1.1003,                 1.0671,                 1.4968,                 1.2271,                 1.3977,                 1.4417,                0.72642,                0.67461,                0.73517,                0.38949,                 1.3678,                 1.0617,                 1.6856,                 1.5296,                 1.2605,                 1.6165,              0.0009802,              0.0009802,              0.0009802
                      6,                 1.1041,                 1.0242,                  1.499,                 1.2243,                 1.3014,                  1.447,                0.76256,                0.69886,                0.76668,                0.40898,                 1.4022,                 1.0156,                 1.6741,                 1.5686,                 1.2251,                 1.6017,              0.0009736,              0.0009736,              0.0009736
                      7,                 1.0852,                0.97645,                 1.4766,                 1.2219,                  1.218,                 1.4293,                0.73699,                0.73072,                0.77816,                0.42179,                 1.3503,                 1.0003,                 1.6319,                 1.4359,                  1.218,                 1.5452,               0.000967,               0.000967,               0.000967
                      8,                 1.0724,                0.95088,                 1.4689,                 1.2236,                 1.1695,                 1.4279,                0.78306,                0.70652,                0.77928,                0.42796,                 1.3293,                0.94898,                 1.6323,                 1.4648,                 1.1303,                  1.575,              0.0009604,              0.0009604,              0.0009604
                      9,                 1.0682,                0.94822,                 1.4744,                 1.1968,                 1.1492,                 1.4272,                0.72869,                0.76931,                0.79042,                0.44274,                 1.3716,                0.94877,                 1.6721,                  1.453,                 1.1307,                 1.5697,              0.0009538,              0.0009538,              0.0009538
                     10,                 1.0611,                0.93956,                 1.4688,                 1.2139,                 1.1609,                 1.4252,                0.75916,                 0.6874,                0.77482,                0.42365,                 1.3733,                0.92993,                 1.6671,                  1.476,                 1.1216,                 1.5787,              0.0009472,              0.0009472,              0.0009472
                     11,                 1.0526,                0.90679,                 1.4598,                 1.1934,                 1.0964,                 1.4145,                0.77892,                0.72108,                0.78078,                 0.4166,                 1.3398,                0.91301,                 1.6178,                 1.4784,                 1.0308,                 1.5574,              0.0009406,              0.0009406,              0.0009406
                     12,                 1.0643,                0.92393,                 1.4644,                 1.2159,                 1.1176,                 1.4258,                0.78239,                0.71157,                0.77388,                0.42706,                 1.3509,                0.90989,                 1.6381,                 1.5029,                 1.0661,                 1.5628,               0.000934,               0.000934,               0.000934
                     13,                 1.0466,                0.89804,                 1.4562,                 1.1848,                 1.0748,                 1.4182,                0.80017,                0.73937,                0.80492,                0.44623,                 1.3732,                0.90137,                 1.6197,                 1.5309,                 1.0033,                 1.5753,              0.0009274,              0.0009274,              0.0009274
                     14,                 1.0544,                0.89356,                 1.4469,                 1.2181,                 1.0615,                 1.4135,                0.83791,                0.74253,                0.81203,                 0.4568,                 1.3074,                0.89929,                 1.5907,                 1.4477,                 1.0478,                 1.5287,              0.0009208,              0.0009208,              0.0009208
                     15,                 1.0302,                0.86956,                 1.4354,                 1.1956,                 1.0197,                  1.401,                0.85516,                0.75436,                0.83591,                0.45964,                 1.3855,                0.85033,                 1.6485,                 1.5067,                0.96151,                 1.5792,              0.0009142,              0.0009142,              0.0009142
                     16,                 1.0136,                0.85255,                 1.4186,                 1.1779,                0.99014,                 1.3881,                  0.851,                0.73125,                0.81237,                0.45596,                  1.352,                0.86198,                 1.6348,                 1.5307,                0.95711,                 1.5837,              0.0009076,              0.0009076,              0.0009076
                     17,                 1.0215,                0.85022,                 1.4382,                 1.1759,                 1.0004,                 1.4093,                0.84553,                0.75867,                0.82606,                0.46085,                 1.3833,                0.83388,                 1.6489,                  1.502,                0.99675,                 1.5627,               0.000901,               0.000901,               0.000901
                     18,                 1.0238,                0.84299,                 1.4175,                 1.2022,                0.99228,                 1.3807,                0.84992,                0.73173,                0.81183,                0.44449,                 1.4138,                0.84329,                 1.6467,                 1.5785,                0.96284,                 1.5804,              0.0008944,              0.0008944,              0.0008944
                     19,                0.98169,                0.81817,                 1.4339,                 1.1418,                0.94586,                 1.4072,                0.86825,                 0.7749,                0.84055,                0.46043,                 1.3385,                0.83278,                  1.604,                 1.4544,                0.94499,                 1.5289,              0.0008878,              0.0008878,              0.0008878
                     20,                0.99053,                 0.8278,                 1.4167,                 1.1651,                0.95506,                  1.391,                0.80065,                0.76279,                0.81319,                0.44424,                 1.3897,                0.85489,                 1.6632,                  1.602,                0.93373,                 1.6025,              0.0008812,              0.0008812,              0.0008812
                     21,                 1.0139,                0.83132,                 1.4174,                 1.1934,                0.97268,                 1.3869,                0.78989,                 0.7504,                0.81402,                0.46489,                 1.3122,                0.83626,                 1.6321,                 1.5024,                0.93408,                 1.5724,              0.0008746,              0.0008746,              0.0008746
                     22,                0.98183,                 0.8135,                 1.3977,                 1.1683,                0.93621,                 1.3724,                0.84896,                0.74915,                0.82112,                 0.4617,                 1.3203,                0.81551,                 1.6358,                 1.5025,                0.94988,                 1.5773,               0.000868,               0.000868,               0.000868
                     23,                0.96251,                0.79643,                 1.3936,                 1.1301,                0.91847,                 1.3685,                0.83595,                0.76549,                0.81757,                0.45439,                  1.338,                0.82047,                 1.6546,                 1.5281,                0.89789,                 1.5959,              0.0008614,              0.0008614,              0.0008614
                     24,                0.98807,                0.80406,                 1.3991,                 1.1834,                0.92463,                 1.3645,                0.83968,                0.72395,                0.81753,                0.45826,                 1.3548,                0.82085,                 1.6665,                 1.4907,                0.94301,                 1.5838,              0.0008548,              0.0008548,              0.0008548
                     25,                0.96891,                0.79789,                 1.4026,                 1.1313,                0.90658,                 1.3766,                0.81659,                0.77179,                0.81919,                0.46067,                 1.3434,                0.82804,                 1.6412,                 1.4998,                0.93397,                 1.5639,              0.0008482,              0.0008482,              0.0008482
                     26,                0.95992,                0.79977,                 1.3946,                 1.1291,                0.92388,                 1.3709,                0.82478,                0.73933,                 0.8147,                0.45963,                 1.3335,                0.83069,                 1.6408,                  1.589,                0.94348,                 1.6048,              0.0008416,              0.0008416,              0.0008416
                     27,                0.96709,                 0.7956,                 1.4016,                  1.142,                 0.8956,                 1.3731,                0.87444,                0.74537,                0.83553,                0.47344,                 1.3147,                0.80147,                 1.6012,                 1.5018,                0.92539,                 1.5641,               0.000835,               0.000835,               0.000835
                     28,                0.96541,                0.79204,                 1.4029,                 1.1461,                0.90458,                 1.3737,                0.82983,                0.77053,                0.83689,                0.46756,                 1.3425,                0.80351,                 1.6323,                 1.5567,                0.91007,                  1.605,              0.0008284,              0.0008284,              0.0008284
                     29,                0.97042,                0.79775,                 1.3873,                 1.1504,                  0.919,                 1.3541,                0.83666,                0.75167,                0.82348,                0.46007,                 1.3383,                0.81864,                 1.6511,                 1.5883,                 0.8944,                 1.6018,              0.0008218,              0.0008218,              0.0008218
