                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.59896,                 2.9509,                 1.4322,                 0.6301,                 3.6936,                 1.3422,                0.45611,                0.37471,                0.36248,                0.21842,                 1.0773,                 1.8383,                 1.7402,                0.99379,                 3.2084,                 1.5483,             0.00032836,             0.00032836,             0.00032836
                      2,                0.84356,                 1.2036,                  1.497,                0.88491,                 2.0445,                 1.4166,                0.67587,                0.59204,                0.66145,                0.35884,                 1.2921,                 1.1872,                 1.7401,                 1.2582,                 2.0253,                 1.5937,             0.00065732,             0.00065732,             0.00065732
                      3,                0.97075,                 1.0779,                 1.4985,                 1.0819,                 1.6022,                 1.4375,                0.68873,                 0.6514,                 0.6922,                0.36948,                 1.3367,                 1.3016,                 1.7285,                 1.3627,                 1.9158,                 1.5831,             0.00098189,             0.00098189,             0.00098189
                      4,                 1.0323,                 1.0341,                 1.5117,                 1.1461,                 1.4246,                 1.4681,                0.69953,                0.70137,                0.73975,                0.41025,                 1.2832,                  1.055,                 1.6482,                 1.3663,                 1.4735,                 1.5483,              0.0009802,              0.0009802,              0.0009802
                      5,                 1.0818,                 1.0146,                 1.5061,                 1.2282,                 1.3467,                 1.4589,                0.73198,                0.70332,                0.74913,                0.41388,                 1.3101,                 1.0374,                 1.6821,                 1.4477,                 1.3128,                 1.5837,              0.0009802,              0.0009802,              0.0009802
                      6,                 1.0636,                0.97736,                  1.495,                 1.2048,                 1.2396,                 1.4516,                0.78445,                0.71356,                0.77548,                0.41673,                 1.4151,                0.99887,                 1.7046,                 1.5547,                 1.3012,                 1.6287,              0.0009736,              0.0009736,              0.0009736
                      7,                 1.0459,                0.93865,                 1.4656,                 1.1868,                 1.1822,                 1.4233,                0.75068,                0.72643,                0.77481,                0.41822,                  1.345,                0.95715,                 1.6329,                 1.4789,                 1.2588,                 1.5846,               0.000967,               0.000967,               0.000967
                      8,                 1.0479,                0.92072,                 1.4638,                 1.1951,                 1.1386,                 1.4246,                0.79651,                0.70894,                0.78685,                 0.4434,                 1.3008,                0.93686,                 1.6171,                 1.4271,                 1.1883,                 1.5502,              0.0009604,              0.0009604,              0.0009604
                      9,                 1.0522,                 0.9218,                 1.4762,                 1.1903,                 1.1213,                 1.4327,                0.79266,                0.70163,                0.79784,                0.44615,                 1.3558,                0.90527,                 1.6695,                 1.5115,                 1.0769,                 1.6134,              0.0009538,              0.0009538,              0.0009538
                     10,                 1.0355,                0.90742,                 1.4652,                 1.1928,                 1.1204,                  1.427,                0.81895,                0.70084,                0.79218,                0.44241,                 1.3573,                0.91116,                 1.6501,                 1.4807,                 1.1535,                 1.5603,              0.0009472,              0.0009472,              0.0009472
                     11,                 1.0306,                0.88928,                 1.4564,                 1.1784,                 1.0631,                 1.4198,                0.80447,                0.72948,                0.77706,                0.41725,                 1.3172,                0.90919,                 1.6344,                 1.4635,                 1.0854,                 1.5665,              0.0009406,              0.0009406,              0.0009406
                     12,                  1.043,                0.89867,                 1.4659,                 1.2079,                 1.0843,                 1.4325,                0.83007,                0.69384,                0.78509,                0.43568,                 1.3851,                0.94433,                 1.6875,                 1.5039,                 1.1064,                 1.5887,               0.000934,               0.000934,               0.000934
                     13,                 1.0209,                0.86894,                 1.4514,                 1.1663,                 1.0392,                 1.4169,                0.79384,                0.73112,                0.80129,                0.42919,                 1.3456,                0.91931,                 1.6331,                 1.5446,                 1.1053,                 1.5873,              0.0009274,              0.0009274,              0.0009274
                     14,                 1.0344,                0.86763,                 1.4488,                 1.2095,                 1.0373,                 1.4145,                0.80391,                0.72212,                0.80429,                 0.4477,                 1.3012,                0.86625,                 1.6169,                 1.3955,                 1.0333,                 1.5264,              0.0009208,              0.0009208,              0.0009208
                     15,                 1.0135,                0.84173,                 1.4405,                 1.1852,                 1.0042,                 1.4048,                0.86415,                0.72538,                0.81978,                0.45782,                 1.3462,                0.82987,                 1.6476,                 1.4811,                0.97636,                 1.5819,              0.0009142,              0.0009142,              0.0009142
                     16,                 1.0015,                0.83467,                 1.4211,                 1.1582,                0.98806,                 1.3864,                0.83275,                0.75548,                0.80904,                0.45887,                 1.3678,                0.87094,                 1.6621,                 1.4983,                 1.0031,                 1.5639,              0.0009076,              0.0009076,              0.0009076
                     17,                 1.0016,                0.83409,                 1.4368,                 1.1674,                0.99106,                 1.4067,                0.85569,                0.73189,                0.82711,                0.46732,                 1.3657,                0.83627,                 1.6474,                 1.4567,                0.98847,                 1.5434,               0.000901,               0.000901,               0.000901
                     18,                 1.0086,                0.83226,                 1.4196,                 1.1837,                0.98624,                 1.3822,                0.83308,                 0.7106,                0.80444,                0.43228,                 1.4114,                0.84459,                 1.6719,                 1.5795,                0.96668,                 1.6031,              0.0008944,              0.0008944,              0.0008944
                     19,                 0.9795,                0.81114,                 1.4443,                   1.13,                 0.9431,                 1.4166,                0.83432,                0.74826,                0.82846,                0.46307,                 1.2999,                0.82084,                  1.614,                 1.4258,                 0.9401,                 1.5419,              0.0008878,              0.0008878,              0.0008878
                     20,                0.97802,                0.81385,                 1.4198,                 1.1427,                0.94916,                 1.3895,                0.82899,                0.71884,                 0.8099,                 0.4443,                 1.3936,                0.83582,                 1.6882,                 1.5686,                0.96425,                 1.6018,              0.0008812,              0.0008812,              0.0008812
                     21,                0.99729,                0.82915,                 1.4216,                 1.1874,                0.97225,                 1.3932,                0.77956,                0.76777,                0.80406,                0.45108,                 1.2934,                 0.8506,                 1.6243,                 1.4518,                 1.0154,                 1.5701,              0.0008746,              0.0008746,              0.0008746
                     22,                0.96723,                0.80467,                 1.4029,                  1.143,                0.94228,                 1.3736,                0.82797,                0.75546,                0.81232,                0.45027,                 1.3998,                0.83546,                 1.6896,                 1.5534,                 0.9841,                 1.6109,               0.000868,               0.000868,               0.000868
                     23,                0.95567,                0.79048,                 1.4034,                 1.1158,                0.92858,                 1.3745,                0.84926,                0.72747,                0.82659,                0.47624,                 1.3354,                0.80499,                 1.6496,                  1.447,                0.94665,                 1.5458,              0.0008614,              0.0008614,              0.0008614
                     24,                0.97852,                0.79854,                 1.4037,                 1.1685,                0.92435,                 1.3695,                0.82413,                0.73102,                0.80318,                0.46224,                 1.3374,                0.80897,                 1.6599,                 1.4658,                 0.9738,                 1.5656,              0.0008548,              0.0008548,              0.0008548
