epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,253.432,1.64267,0.74634,0.88478,0.9573,0.52153,0.77184,0.46237,3.43311,1.60279,1.24599,0.000323529,0.000323529,0.000323529
2,293.166,1.70715,0.71687,0.88336,0.93468,0.73293,0.86812,0.53362,3.30709,1.3156,1.24493,0.00065036,0.00065036,0.00065036
3,336.1,1.76015,0.75617,0.89256,0.91247,0.83852,0.89716,0.5528,3.39163,1.36045,1.24722,0.00097059,0.00097059,0.00097059
4,378.287,1.87417,0.81546,0.90221,0.90167,0.82206,0.87654,0.53381,3.29876,1.3786,1.25517,0.0009703,0.0009703,0.0009703
5,418.975,1.91308,0.83454,0.91038,0.87483,0.82785,0.86422,0.51315,3.53534,1.58416,1.336,0.0009604,0.0009604,0.0009604
6,459.296,1.95274,0.86633,0.9189,0.89634,0.82592,0.88094,0.53146,3.39623,1.42601,1.29134,0.0009505,0.0009505,0.0009505
7,499.74,1.96311,0.88307,0.91449,0.87736,0.81041,0.87496,0.53654,3.38104,1.56493,1.26668,0.0009406,0.0009406,0.0009406
8,540.862,1.92215,0.87647,0.91475,0.89368,0.83519,0.87952,0.53074,3.27072,1.57941,1.24715,0.0009307,0.0009307,0.0009307
9,580.886,1.9608,0.89224,0.91686,0.87719,0.83248,0.87212,0.5362,3.41263,1.60275,1.25517,0.0009208,0.0009208,0.0009208
10,621.251,1.92575,0.89194,0.9122,0.88448,0.8095,0.87082,0.53122,3.24654,1.44425,1.26031,0.0009109,0.0009109,0.0009109
11,659.642,1.90812,0.8834,0.91565,0.8829,0.83898,0.87917,0.53745,3.25532,1.44096,1.25844,0.000901,0.000901,0.000901
12,698.681,1.93209,0.88501,0.91177,0.88096,0.8393,0.88668,0.5463,3.12953,1.44271,1.21489,0.0008911,0.0008911,0.0008911
13,741.633,1.89929,0.86812,0.91268,0.91066,0.82545,0.89501,0.54879,3.28769,1.41553,1.2371,0.0008812,0.0008812,0.0008812
14,781.56,1.90702,0.88667,0.91813,0.88772,0.81881,0.87994,0.53682,3.32315,1.49954,1.27186,0.0008713,0.0008713,0.0008713
15,822.666,1.89578,0.86911,0.91048,0.88137,0.85041,0.88792,0.54196,3.41873,1.5664,1.29147,0.0008614,0.0008614,0.0008614
16,861.538,1.89088,0.86656,0.90512,0.89542,0.8179,0.8791,0.53635,3.45856,1.48585,1.31823,0.0008515,0.0008515,0.0008515
