epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,518.73,3.44584,2.68662,1.64724,0.01871,0.04428,0.0193,0.0042,4.4643,6.61161,1.78005,0.000323529,0.000323529,0.000323529
2,562.047,1.96421,1.05143,0.93999,0.70771,0.45654,0.61673,0.37484,3.43356,3.00316,1.30571,0.00065036,0.00065036,0.00065036
3,608.636,1.92045,0.94353,0.91814,0.93077,0.59647,0.81175,0.48348,3.59083,1.91744,1.28827,0.00097059,0.00097059,0.00097059
4,655.463,2.01062,0.9631,0.92472,0.90476,0.75011,0.8554,0.5036,3.45049,1.55254,1.27506,0.0009703,0.0009703,0.0009703
5,700.855,2.01656,0.96072,0.92996,0.88322,0.80017,0.86155,0.49598,3.36477,1.54284,1.27252,0.0009604,0.0009604,0.0009604
6,747.729,2.03877,0.98127,0.936,0.89737,0.7999,0.87085,0.52175,3.40037,1.5276,1.29983,0.0009505,0.0009505,0.0009505
7,795.193,2.04208,0.98089,0.92795,0.88167,0.82551,0.86776,0.51906,3.34002,1.54673,1.28826,0.0009406,0.0009406,0.0009406
8,840.202,2.00324,0.9649,0.92827,0.89184,0.81903,0.87443,0.52272,3.48825,1.52315,1.32766,0.0009307,0.0009307,0.0009307
9,886.245,2.01955,0.9667,0.92726,0.88505,0.82038,0.86086,0.5158,3.20894,1.5896,1.22319,0.0009208,0.0009208,0.0009208
10,930.256,1.98037,0.96177,0.92183,0.90075,0.82859,0.88239,0.53642,3.50459,1.56835,1.34331,0.0009109,0.0009109,0.0009109
11,975.772,1.95778,0.94723,0.92433,0.87651,0.84501,0.87262,0.51822,3.45401,1.592,1.31915,0.000901,0.000901,0.000901
12,1020.29,1.9625,0.94029,0.91825,0.89236,0.82092,0.875,0.52313,3.20711,1.59691,1.23627,0.0008911,0.0008911,0.0008911
13,1065.32,1.95451,0.92845,0.92297,0.89027,0.8199,0.87623,0.52909,3.32666,1.5392,1.25109,0.0008812,0.0008812,0.0008812
14,1109.63,1.96488,0.94391,0.92852,0.89291,0.81953,0.87696,0.53137,3.36377,1.55361,1.26188,0.0008713,0.0008713,0.0008713
15,1154.39,1.92272,0.91497,0.91938,0.89242,0.82873,0.88238,0.53944,3.43029,1.4838,1.28966,0.0008614,0.0008614,0.0008614
16,1200.81,1.9385,0.91582,0.91447,0.88316,0.83363,0.88604,0.53978,3.32912,1.46384,1.28214,0.0008515,0.0008515,0.0008515
17,1246.59,1.92285,0.91475,0.91723,0.90942,0.81907,0.89109,0.53414,3.37858,1.49758,1.28297,0.0008416,0.0008416,0.0008416
