epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,308.6,1.62608,0.71178,0.88145,0.90985,0.80438,0.8889,0.54443,3.39226,1.48239,1.26773,0.000323529,0.000323529,0.000323529
2,347.216,1.70301,0.7096,0.88224,0.92292,0.83021,0.89877,0.54891,3.30623,1.38446,1.22401,0.00065036,0.00065036,0.00065036
3,389.31,1.76227,0.75133,0.89142,0.89622,0.84045,0.89492,0.55497,3.31835,1.3537,1.23872,0.00097059,0.00097059,0.00097059
4,429.635,1.89052,0.82247,0.90417,0.88758,0.82507,0.87817,0.53164,3.30291,1.42329,1.21047,0.0009703,0.0009703,0.0009703
5,467.424,1.91704,0.84204,0.91178,0.89052,0.82613,0.86818,0.51972,3.45887,1.55637,1.31625,0.0009604,0.0009604,0.0009604
6,505.945,1.94143,0.86584,0.91706,0.9042,0.83315,0.881,0.53292,3.44285,1.37944,1.30362,0.0009505,0.0009505,0.0009505
7,545.029,1.95894,0.88929,0.916,0.90264,0.81664,0.87313,0.51739,3.47223,1.47922,1.35194,0.0009406,0.0009406,0.0009406
8,583.538,1.93852,0.88121,0.91544,0.8903,0.8093,0.881,0.531,3.49042,1.47193,1.37038,0.0009307,0.0009307,0.0009307
9,621.041,1.94255,0.88448,0.91261,0.90671,0.81017,0.87734,0.52915,3.3682,1.53819,1.26496,0.0009208,0.0009208,0.0009208
10,659.719,1.92734,0.88245,0.91251,0.87917,0.8252,0.87356,0.53633,3.37359,1.42224,1.28003,0.0009109,0.0009109,0.0009109
11,698.297,1.89099,0.87768,0.91495,0.88049,0.83951,0.87941,0.53442,3.29986,1.49034,1.23544,0.000901,0.000901,0.000901
12,737.1,1.94432,0.89054,0.91215,0.90218,0.84207,0.89452,0.53803,3.34391,1.48773,1.2497,0.0008911,0.0008911,0.0008911
13,777.23,1.88134,0.87138,0.91235,0.89325,0.84989,0.88813,0.54916,3.34849,1.42582,1.25271,0.0008812,0.0008812,0.0008812
14,816.057,1.91414,0.8913,0.91929,0.87214,0.81933,0.86428,0.52265,3.41194,1.48935,1.29041,0.0008713,0.0008713,0.0008713
15,853.861,1.8863,0.87094,0.91276,0.88836,0.826,0.88308,0.53935,3.34927,1.46449,1.30068,0.0008614,0.0008614,0.0008614
16,892.647,1.8942,0.86627,0.90643,0.91327,0.83947,0.90125,0.54596,3.34045,1.52386,1.26992,0.0008515,0.0008515,0.0008515
17,933.676,1.87083,0.86731,0.90747,0.90922,0.81467,0.88461,0.54182,3.25185,1.48253,1.23548,0.0008416,0.0008416,0.0008416
18,972.033,1.87734,0.8581,0.90655,0.89868,0.81631,0.87434,0.53265,3.38233,1.54618,1.30593,0.0008317,0.0008317,0.0008317
19,1011.12,1.8667,0.8635,0.90756,0.89414,0.8091,0.86845,0.52753,3.3247,1.55535,1.30081,0.0008218,0.0008218,0.0008218
