epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.6961,0.16879,0.50641,1.17,0.90527,0.87238,0.90401,0.54076,0.70739,0.77736,1.62791,0.000323529,0.000323529,0.000323529
2,126.398,0.08189,0.32178,0.89134,0.89324,0.849,0.90068,0.55193,0.61706,0.7117,1.67731,0.000653611,0.000653611,0.000653611
3,185.016,0.08595,0.31861,0.88413,0.90237,0.82974,0.89624,0.55447,0.63294,0.69317,1.70442,0.000980393,0.000980393,0.000980393
4,244.061,0.0894,0.32138,0.88883,0.89801,0.82979,0.89276,0.5496,0.60905,0.68513,1.64261,0.00098515,0.00098515,0.00098515
5,303.033,0.09493,0.32559,0.89397,0.91183,0.81318,0.89628,0.54253,0.66433,0.70056,1.77225,0.0009802,0.0009802,0.0009802
6,361.902,0.09588,0.32537,0.89095,0.89059,0.84758,0.89507,0.53498,0.67442,0.75479,1.76739,0.00097525,0.00097525,0.00097525
7,421.086,0.09607,0.32377,0.89507,0.9008,0.86664,0.89934,0.54906,0.6857,0.75124,1.69709,0.0009703,0.0009703,0.0009703
8,479.956,0.09553,0.32153,0.89321,0.91052,0.8274,0.89593,0.54609,0.70711,0.72009,1.85134,0.00096535,0.00096535,0.00096535
9,538.981,0.10004,0.33107,0.89508,0.92607,0.80259,0.88579,0.53252,0.65322,0.73024,1.70155,0.0009604,0.0009604,0.0009604
10,597.961,0.10213,0.32951,0.89863,0.89615,0.8477,0.88304,0.52301,0.719,0.69696,1.84661,0.00095545,0.00095545,0.00095545
11,657.328,0.10056,0.32397,0.88835,0.91013,0.84405,0.88801,0.54662,0.6848,0.72028,1.75695,0.0009505,0.0009505,0.0009505
12,716.285,0.10325,0.32893,0.89418,0.90245,0.83875,0.88279,0.53318,0.66761,0.73074,1.73172,0.00094555,0.00094555,0.00094555
13,775.37,0.09973,0.32447,0.89029,0.88381,0.85699,0.89869,0.54701,0.63084,0.66959,1.69135,0.0009406,0.0009406,0.0009406
14,834.437,0.10123,0.3236,0.89005,0.92011,0.83019,0.89972,0.54553,0.65533,0.70168,1.74879,0.00093565,0.00093565,0.00093565
15,893.415,0.10666,0.33017,0.89107,0.89919,0.83629,0.89246,0.55181,0.66236,0.72162,1.8668,0.0009307,0.0009307,0.0009307
16,952.422,0.10378,0.32266,0.89341,0.88945,0.81794,0.88786,0.5497,0.64296,0.7255,1.7962,0.00092575,0.00092575,0.00092575
17,1011.21,0.10416,0.32585,0.88855,0.89148,0.85166,0.89237,0.55157,0.62499,0.66307,1.71036,0.0009208,0.0009208,0.0009208
18,1069.7,0.10583,0.32325,0.89731,0.8816,0.85621,0.90384,0.54878,0.66618,0.68016,1.73175,0.00091585,0.00091585,0.00091585
19,1127.97,0.10644,0.32829,0.89115,0.91871,0.8383,0.89711,0.54656,0.71495,0.6971,1.74916,0.0009109,0.0009109,0.0009109
20,1185.74,0.1046,0.3208,0.89231,0.89151,0.84786,0.89681,0.55138,0.66221,0.68462,1.67871,0.00090595,0.00090595,0.00090595
