epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.2487,0.13052,0.46862,1.03207,0.89254,0.86283,0.90275,0.53977,0.69321,0.80069,1.71677,0.000323529,0.000323529,0.000323529
2,132.823,0.08155,0.32686,0.89142,0.89543,0.87177,0.90539,0.55906,0.64677,0.72074,1.68878,0.00065036,0.00065036,0.00065036
3,196.342,0.08488,0.32252,0.88306,0.89182,0.84614,0.9065,0.55869,0.65315,0.67851,1.71344,0.00097059,0.00097059,0.00097059
4,259.934,0.09152,0.32552,0.88908,0.89453,0.81697,0.89026,0.54794,0.63544,0.69918,1.71361,0.0009703,0.0009703,0.0009703
5,322.968,0.09281,0.32668,0.89142,0.8896,0.83649,0.88905,0.54932,0.633,0.69226,1.69543,0.0009604,0.0009604,0.0009604
6,385.932,0.09513,0.32719,0.89056,0.89464,0.8262,0.88921,0.53391,0.62708,0.68608,1.68669,0.0009505,0.0009505,0.0009505
7,449.382,0.09352,0.32533,0.89394,0.92528,0.8321,0.90435,0.54903,0.67722,0.69978,1.78662,0.0009406,0.0009406,0.0009406
8,512.489,0.09449,0.32228,0.88918,0.89425,0.8436,0.90051,0.55565,0.63458,0.66616,1.69511,0.0009307,0.0009307,0.0009307
9,575.599,0.10014,0.33163,0.89345,0.87828,0.85779,0.88641,0.52982,0.66206,0.69489,1.72231,0.0009208,0.0009208,0.0009208
10,638.687,0.09784,0.32392,0.8927,0.89478,0.84287,0.88914,0.54503,0.68668,0.68486,1.79179,0.0009109,0.0009109,0.0009109
11,701.738,0.09825,0.32221,0.88987,0.90474,0.85254,0.8995,0.54929,0.69013,0.6817,1.77639,0.000901,0.000901,0.000901
12,765.154,0.09692,0.31987,0.88949,0.91725,0.8318,0.89888,0.55046,0.64037,0.67069,1.66759,0.0008911,0.0008911,0.0008911
13,828.123,0.09641,0.32333,0.88772,0.90415,0.83428,0.89017,0.55366,0.62321,0.69258,1.65588,0.0008812,0.0008812,0.0008812
14,891.059,0.09977,0.32641,0.89067,0.88945,0.84504,0.88615,0.54343,0.64546,0.68209,1.66897,0.0008713,0.0008713,0.0008713
15,954.269,0.10353,0.32801,0.88826,0.91592,0.83297,0.88983,0.55089,0.65388,0.72352,1.65484,0.0008614,0.0008614,0.0008614
16,1017.03,0.10161,0.32003,0.88939,0.90331,0.84275,0.89395,0.55065,0.63172,0.72125,1.7044,0.0008515,0.0008515,0.0008515
17,1080.2,0.09998,0.32089,0.88621,0.87314,0.8587,0.89999,0.55494,0.62445,0.68527,1.71312,0.0008416,0.0008416,0.0008416
18,1143.56,0.0997,0.31606,0.89182,0.89341,0.84301,0.89038,0.54693,0.67201,0.70644,1.77145,0.0008317,0.0008317,0.0008317
19,1206.67,0.10103,0.32182,0.88645,0.92761,0.80792,0.88785,0.54515,0.64871,0.72374,1.66504,0.0008218,0.0008218,0.0008218
20,1269.62,0.09725,0.3166,0.88567,0.91452,0.82769,0.89058,0.55465,0.6245,0.651,1.62984,0.0008119,0.0008119,0.0008119
21,1332.3,0.09713,0.31367,0.88319,0.8896,0.83207,0.89194,0.55483,0.62548,0.64788,1.61307,0.000802,0.000802,0.000802
22,1395.5,0.09575,0.31151,0.88226,0.91907,0.82982,0.8988,0.54783,0.6235,0.67295,1.66764,0.0007921,0.0007921,0.0007921
