                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1372,                  2.091,                 2.1798,                0.34707,                0.31631,                0.33813,                0.16023,                 2.8258,                 4.7951,                  2.032,             0.00032353,             0.00032353,             0.00032353
                      2,                0.79864,                0.52854,                0.99667,                0.87893,                0.58946,                0.77904,                0.47166,                 1.7146,                 2.3599,                 1.4671,             0.00065361,             0.00065361,             0.00065361
                      3,                0.73688,                0.45902,                0.95949,                0.88747,                0.82079,                0.87771,                0.51254,                 1.7327,                0.97003,                 1.5947,             0.00098039,             0.00098039,             0.00098039
                      4,                0.75334,                0.44739,                0.97167,                0.88891,                0.83438,                0.87706,                0.50979,                 1.6233,                0.76247,                 1.5078,             0.00098515,             0.00098515,             0.00098515
                      5,                0.77363,                 0.4514,                0.97718,                0.87016,                0.83538,                0.87704,                0.52398,                 1.6111,                0.71563,                 1.5601,              0.0009802,              0.0009802,              0.0009802
                      6,                0.76017,                 0.4427,                  0.973,                0.87937,                0.84108,                0.87986,                0.52234,                 1.6831,                0.72845,                 1.6237,             0.00097525,             0.00097525,             0.00097525
                      7,                0.76283,                0.44029,                0.97304,                0.91264,                0.82813,                0.88117,                0.51907,                 1.6593,                0.72773,                 1.5773,              0.0009703,              0.0009703,              0.0009703
                      8,                0.77563,                0.44393,                0.97714,                0.90606,                0.81662,                0.86807,                0.50783,                 1.6926,                0.78496,                 1.5993,             0.00096535,             0.00096535,             0.00096535
                      9,                0.74998,                0.42599,                0.96397,                 0.8754,                 0.8349,                0.87185,                0.52886,                 1.6894,                0.76644,                 1.6358,              0.0009604,              0.0009604,              0.0009604
                     10,                0.74915,                0.42591,                0.95934,                0.90051,                 0.8288,                 0.8639,                0.50439,                 1.6459,                0.73178,                 1.5861,             0.00095545,             0.00095545,             0.00095545
                     11,                0.75888,                0.43472,                0.97351,                0.90512,                0.80572,                0.87116,                 0.5197,                 1.6962,                0.71733,                 1.6654,              0.0009505,              0.0009505,              0.0009505
                     12,                0.75276,                0.43458,                0.96795,                0.89231,                0.83392,                0.87957,                0.52493,                 1.6619,                0.75611,                  1.576,             0.00094555,             0.00094555,             0.00094555
                     13,                0.73298,                0.42349,                0.96353,                0.88512,                0.80962,                0.86559,                0.52479,                 1.6632,                0.76946,                 1.5818,              0.0009406,              0.0009406,              0.0009406
                     14,                 0.7495,                0.43052,                0.96078,                 0.8865,                0.83246,                0.87918,                0.52526,                  1.617,                0.71772,                 1.5708,             0.00093565,             0.00093565,             0.00093565
                     15,                0.74863,                0.42453,                0.96603,                 0.9162,                0.80471,                0.87683,                 0.5219,                 1.6524,                0.71051,                 1.6041,              0.0009307,              0.0009307,              0.0009307
                     16,                0.73136,                0.42255,                0.96676,                0.92122,                0.81152,                0.88083,                0.52238,                 1.6474,                 0.7082,                 1.5983,             0.00092575,             0.00092575,             0.00092575
                     17,                0.75176,                0.41942,                0.96159,                0.89199,                0.82993,                0.87823,                0.51046,                 1.6711,                0.75084,                 1.6335,              0.0009208,              0.0009208,              0.0009208
                     18,                0.74345,                 0.4228,                0.96482,                0.88991,                0.85044,                0.88053,                 0.5385,                 1.5779,                0.70063,                 1.5779,             0.00091585,             0.00091585,             0.00091585
                     19,                0.72835,                0.41246,                0.96066,                0.89524,                 0.8357,                0.88354,                0.52325,                  1.646,                0.69258,                 1.6243,              0.0009109,              0.0009109,              0.0009109
                     20,                0.72642,                 0.4107,                0.95558,                0.88801,                0.85276,                0.88915,                0.52732,                 1.5931,                0.66488,                 1.5443,             0.00090595,             0.00090595,             0.00090595
                     21,                0.72184,                0.40598,                0.95261,                0.90696,                0.83834,                0.89168,                0.53154,                 1.5794,                0.68875,                 1.5175,               0.000901,               0.000901,               0.000901
                     22,                0.72936,                0.41666,                0.95936,                0.90967,                0.83126,                0.88764,                0.53413,                 1.6079,                0.69183,                 1.5489,             0.00089605,             0.00089605,             0.00089605
                     23,                0.73102,                0.41825,                0.96267,                0.88717,                 0.8467,                0.87781,                0.52043,                 1.5777,                0.67779,                 1.5401,              0.0008911,              0.0008911,              0.0008911
                     24,                0.70846,                0.40225,                0.95195,                0.91046,                0.85355,                0.89362,                0.53322,                 1.5989,                0.67146,                 1.5827,             0.00088615,             0.00088615,             0.00088615
                     25,                0.71491,                0.40694,                0.94586,                0.92032,                0.82773,                0.89299,                0.54126,                  1.563,                0.67071,                 1.4814,              0.0008812,              0.0008812,              0.0008812
