epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.3415,2.35133,6.69847,2.68261,0.23953,0.26203,0.21655,0.08537,1.66343,3.03003,2.00719,0.000323529,0.000323529,0.000323529
2,56.1516,0.50212,1.48323,1.08635,0.87187,0.72428,0.80949,0.4606,0.93261,2.07794,1.40578,0.00065036,0.00065036,0.00065036
3,79.9559,0.25606,0.9626,0.9058,0.88142,0.80759,0.86996,0.52448,0.98022,1.78987,1.49416,0.00097059,0.00097059,0.00097059
4,103.986,0.22002,0.84185,0.88249,0.91124,0.82793,0.88077,0.52293,1.01119,1.64834,1.60746,0.0009703,0.0009703,0.0009703
5,128.124,0.21556,0.79629,0.88275,0.89813,0.83642,0.88024,0.53856,1.07312,1.73685,1.62882,0.0009604,0.0009604,0.0009604
6,152.43,0.20667,0.76041,0.87667,0.90811,0.83305,0.88657,0.54502,1.09237,1.57646,1.65252,0.0009505,0.0009505,0.0009505
7,176.98,0.2036,0.74393,0.87683,0.89152,0.84946,0.89212,0.5442,1.12743,1.73117,1.71401,0.0009406,0.0009406,0.0009406
8,201.365,0.19738,0.72143,0.87181,0.91059,0.82527,0.88821,0.54708,1.08147,1.69797,1.60972,0.0009307,0.0009307,0.0009307
9,225.771,0.2083,0.73338,0.87424,0.89271,0.82739,0.874,0.53443,1.04689,1.77123,1.59828,0.0009208,0.0009208,0.0009208
10,250.29,0.20553,0.72637,0.87272,0.90393,0.84648,0.89132,0.54661,1.00027,1.64604,1.50617,0.0009109,0.0009109,0.0009109
11,274.839,0.19956,0.70918,0.86464,0.89422,0.83233,0.88825,0.53587,1.03746,1.56043,1.53987,0.000901,0.000901,0.000901
12,299.544,0.19724,0.70595,0.86955,0.88952,0.82625,0.88036,0.54707,1.06027,1.47112,1.56634,0.0008911,0.0008911,0.0008911
13,324.111,0.19606,0.69612,0.86643,0.88422,0.83184,0.87651,0.5416,1.1331,1.54067,1.61117,0.0008812,0.0008812,0.0008812
14,348.745,0.20106,0.7007,0.86746,0.90354,0.84939,0.89308,0.54447,1.04138,1.57812,1.56455,0.0008713,0.0008713,0.0008713
15,373.559,0.2058,0.69992,0.86847,0.89071,0.84992,0.88917,0.54832,1.10928,1.62119,1.59008,0.0008614,0.0008614,0.0008614
16,398.152,0.19867,0.68575,0.86672,0.89373,0.83745,0.88824,0.54937,1.08035,1.65841,1.53384,0.0008515,0.0008515,0.0008515
17,422.818,0.19904,0.6885,0.86531,0.91454,0.83418,0.88953,0.54734,1.14425,1.6905,1.61829,0.0008416,0.0008416,0.0008416
18,447.389,0.19763,0.67435,0.8689,0.89218,0.84686,0.89372,0.55234,1.14405,1.62698,1.65342,0.0008317,0.0008317,0.0008317
19,472.235,0.19602,0.68254,0.86511,0.90086,0.84561,0.88757,0.54713,1.10684,1.61268,1.62475,0.0008218,0.0008218,0.0008218
20,496.953,0.18692,0.66522,0.86276,0.89615,0.83958,0.89239,0.55327,1.15219,1.66504,1.67337,0.0008119,0.0008119,0.0008119
21,521.677,0.18982,0.66349,0.86346,0.89475,0.82832,0.88282,0.54696,1.17871,1.71697,1.654,0.000802,0.000802,0.000802
22,546.342,0.1872,0.65554,0.8608,0.9123,0.82683,0.88871,0.54837,1.18394,1.63835,1.62252,0.0007921,0.0007921,0.0007921
23,571.103,0.19771,0.6678,0.86377,0.90153,0.84247,0.89087,0.55098,1.11955,1.57581,1.59122,0.0007822,0.0007822,0.0007822
24,595.741,0.18537,0.64905,0.85882,0.89887,0.8341,0.88473,0.54452,1.10562,1.51929,1.5536,0.0007723,0.0007723,0.0007723
