                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.40713,                0.24094,                0.85565,                0.93849,                0.83577,                0.90738,                0.56666,                  1.536,                0.68554,                 1.8413,             0.00032353,             0.00032353,             0.00032353
                      2,                0.42576,                0.25192,                0.85951,                0.90357,                0.84242,                0.90057,                 0.5586,                 1.5125,                0.68704,                 1.8324,             0.00065524,             0.00065524,             0.00065524
                      3,                0.43505,                0.25791,                0.86343,                0.90783,                0.84133,                0.88812,                0.55469,                 1.5094,                0.67874,                 1.8348,             0.00098529,             0.00098529,             0.00098529
                      4,                 0.4516,                0.26618,                0.87024,                0.93009,                 0.8086,                0.88463,                0.54241,                 1.5541,                0.69671,                 1.8551,             0.00099258,             0.00099258,             0.00099258
                      5,                0.47069,                0.27304,                0.87528,                0.92613,                0.81781,                  0.882,                 0.5427,                 1.5649,                0.71429,                  1.876,              0.0009901,              0.0009901,              0.0009901
                      6,                0.46982,                0.27496,                0.87445,                0.91478,                0.82628,                0.88816,                0.53952,                   1.57,                0.76185,                  1.913,             0.00098763,             0.00098763,             0.00098763
                      7,                0.47923,                0.28112,                 0.8771,                0.90329,                0.84825,                0.89793,                0.54542,                 1.5622,                 0.7598,                 1.8431,             0.00098515,             0.00098515,             0.00098515
                      8,                0.49264,                0.28552,                0.88373,                0.91981,                0.81545,                0.88592,                0.54462,                 1.5424,                0.71926,                 1.8458,             0.00098268,             0.00098268,             0.00098268
                      9,                0.48207,                0.28161,                0.87516,                0.90234,                0.81727,                0.88421,                0.54023,                 1.5597,                 0.6815,                 1.8486,              0.0009802,              0.0009802,              0.0009802
                     10,                0.48766,                0.28162,                0.87617,                0.91981,                0.82689,                0.89216,                0.54529,                 1.5669,                0.69894,                 1.8483,             0.00097773,             0.00097773,             0.00097773
                     11,                0.49871,                 0.2839,                 0.8853,                0.91577,                0.84292,                0.88378,                 0.5381,                 1.6338,                0.68878,                 1.8422,             0.00097525,             0.00097525,             0.00097525
                     12,                 0.4984,                 0.2903,                0.88309,                0.88796,                0.85149,                0.88754,                0.53978,                 1.5855,                0.69144,                 1.8479,             0.00097278,             0.00097278,             0.00097278
                     13,                0.49282,                 0.2847,                0.88251,                0.93036,                0.82364,                0.88846,                0.54292,                 1.5551,                0.68455,                 1.8037,              0.0009703,              0.0009703,              0.0009703
                     14,                 0.4923,                0.28498,                0.87971,                0.92056,                 0.8299,                0.88879,                0.54492,                 1.5937,                0.70249,                  1.856,             0.00096783,             0.00096783,             0.00096783
                     15,                0.49269,                0.28185,                0.88687,                 0.9195,                0.83682,                0.88758,                0.54244,                 1.5907,                0.69656,                 1.8636,             0.00096535,             0.00096535,             0.00096535
