epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.7014,2.3774,2.55525,2.31238,0.17187,0.03437,0.08998,0.00965,4.21007,6.35027,2.93408,0.000323529,0.000323529,0.000323529
2,57.3908,0.82447,0.59573,1.00209,0.75629,0.17141,0.47742,0.27889,2.62186,5.61714,1.9998,0.000653611,0.000653611,0.000653611
3,82.2873,0.7856,0.50807,0.98127,0.70563,0.45935,0.62122,0.35855,1.9412,4.17054,1.6315,0.000980393,0.000980393,0.000980393
4,107.758,0.78483,0.49207,0.983,0.84651,0.64334,0.78615,0.44989,1.72554,1.95301,1.50134,0.00098515,0.00098515,0.00098515
5,133.135,0.79393,0.48396,0.98843,0.8815,0.82079,0.87857,0.50574,1.62695,0.84539,1.46324,0.0009802,0.0009802,0.0009802
6,158.563,0.78738,0.47369,0.98271,0.89867,0.8079,0.86392,0.5024,1.6664,0.79182,1.60399,0.00097525,0.00097525,0.00097525
7,183.958,0.77172,0.46437,0.98927,0.90273,0.82963,0.87768,0.52216,1.62668,0.70319,1.54896,0.0009703,0.0009703,0.0009703
8,209.669,0.77499,0.45821,0.98227,0.90674,0.818,0.86946,0.51207,1.64946,0.76251,1.60346,0.00096535,0.00096535,0.00096535
9,235.296,0.79245,0.46614,0.98893,0.90132,0.81152,0.8704,0.51389,1.56267,0.68764,1.48996,0.0009604,0.0009604,0.0009604
10,261.012,0.78384,0.45811,0.98495,0.89812,0.80929,0.85754,0.50356,1.62933,0.70059,1.59087,0.00095545,0.00095545,0.00095545
11,286.793,0.77366,0.44996,0.97688,0.90834,0.82064,0.86948,0.5122,1.65425,0.77975,1.56746,0.0009505,0.0009505,0.0009505
12,312.629,0.77227,0.45261,0.97966,0.88307,0.85627,0.88113,0.51515,1.62712,0.71773,1.58477,0.00094555,0.00094555,0.00094555
13,338.859,0.76415,0.44369,0.97893,0.91537,0.80866,0.88327,0.51968,1.58709,0.68905,1.50729,0.0009406,0.0009406,0.0009406
14,364.997,0.76894,0.44335,0.97719,0.90299,0.84126,0.88672,0.53059,1.59081,0.70316,1.53267,0.00093565,0.00093565,0.00093565
15,391.124,0.77124,0.44772,0.97582,0.89841,0.84309,0.89153,0.53527,1.58679,0.69491,1.53488,0.0009307,0.0009307,0.0009307
16,417.296,0.75699,0.43311,0.97214,0.91871,0.81807,0.88718,0.53036,1.56013,0.67461,1.53796,0.00092575,0.00092575,0.00092575
17,443.224,0.75884,0.43113,0.96722,0.91464,0.84877,0.89219,0.52452,1.61053,0.6863,1.57305,0.0009208,0.0009208,0.0009208
18,469.099,0.73877,0.42151,0.9702,0.90793,0.83809,0.88464,0.53066,1.58032,0.65303,1.55818,0.00091585,0.00091585,0.00091585
19,494.968,0.7476,0.42454,0.96982,0.90357,0.84236,0.87756,0.5224,1.54815,0.66735,1.56444,0.0009109,0.0009109,0.0009109
20,520.921,0.73773,0.42432,0.96737,0.91755,0.81049,0.88184,0.53625,1.54043,0.68447,1.52751,0.00090595,0.00090595,0.00090595
21,546.796,0.73102,0.41975,0.96241,0.90296,0.82289,0.88323,0.53782,1.63507,0.65611,1.63137,0.000901,0.000901,0.000901
22,572.651,0.72599,0.41636,0.96183,0.90894,0.83102,0.88456,0.54125,1.60871,0.65861,1.58909,0.00089605,0.00089605,0.00089605
23,598.641,0.73171,0.4219,0.95557,0.90885,0.83032,0.89127,0.53274,1.55415,0.67434,1.5469,0.0008911,0.0008911,0.0008911
24,624.486,0.70954,0.41333,0.95525,0.90394,0.83068,0.88355,0.52653,1.64328,0.66646,1.66181,0.00088615,0.00088615,0.00088615
25,650.315,0.72026,0.40976,0.95527,0.89953,0.84878,0.89025,0.53726,1.66189,0.70297,1.67719,0.0008812,0.0008812,0.0008812
26,676.176,0.71845,0.40801,0.9607,0.9212,0.81736,0.88077,0.53012,1.63192,0.71476,1.61479,0.00087625,0.00087625,0.00087625
27,702.092,0.72104,0.41211,0.95909,0.89023,0.82475,0.87978,0.53194,1.62506,0.71071,1.61129,0.0008713,0.0008713,0.0008713
28,727.985,0.71928,0.41249,0.95509,0.91487,0.82168,0.88024,0.52351,1.59417,0.68768,1.57411,0.00086635,0.00086635,0.00086635
29,753.875,0.71143,0.40558,0.95217,0.90048,0.85728,0.89482,0.546,1.60975,0.71432,1.58483,0.0008614,0.0008614,0.0008614
30,780.013,0.70883,0.4087,0.95753,0.92321,0.82295,0.88191,0.53607,1.61288,0.6954,1.64061,0.00085645,0.00085645,0.00085645
31,806.011,0.72772,0.41365,0.95825,0.92295,0.83449,0.88918,0.5267,1.63767,0.77493,1.64334,0.0008515,0.0008515,0.0008515
32,831.825,0.69934,0.40444,0.9528,0.89181,0.84586,0.88366,0.53147,1.63399,0.70987,1.65618,0.00084655,0.00084655,0.00084655
33,857.693,0.70238,0.39896,0.95033,0.92092,0.83799,0.89576,0.52883,1.62905,0.69715,1.63139,0.0008416,0.0008416,0.0008416
34,883.554,0.69905,0.39443,0.95559,0.92162,0.82525,0.88848,0.53297,1.60653,0.69485,1.65496,0.00083665,0.00083665,0.00083665
35,909.484,0.7178,0.40771,0.95308,0.94086,0.8349,0.90147,0.5394,1.56743,0.64209,1.662,0.0008317,0.0008317,0.0008317
36,935.723,0.69333,0.39729,0.95082,0.92176,0.83824,0.88952,0.53364,1.58841,0.66019,1.64885,0.00082675,0.00082675,0.00082675
37,961.611,0.68659,0.38982,0.94873,0.89321,0.83971,0.88521,0.53551,1.62943,0.68857,1.6692,0.0008218,0.0008218,0.0008218
38,987.564,0.69137,0.39578,0.95046,0.88902,0.83329,0.8822,0.52511,1.57747,0.65784,1.59743,0.00081685,0.00081685,0.00081685
39,1013.48,0.69806,0.39812,0.95765,0.91465,0.83692,0.88001,0.52588,1.63422,0.67633,1.66952,0.0008119,0.0008119,0.0008119
40,1039.34,0.68623,0.39216,0.9469,0.87128,0.86111,0.88146,0.53415,1.58863,0.65744,1.62911,0.00080695,0.00080695,0.00080695
41,1065.17,0.68251,0.38719,0.94838,0.88169,0.83455,0.87418,0.52543,1.64062,0.70166,1.69311,0.000802,0.000802,0.000802
42,1090.99,0.67817,0.38617,0.94614,0.90652,0.83011,0.88503,0.52881,1.65198,0.70328,1.72222,0.00079705,0.00079705,0.00079705
43,1116.79,0.67114,0.37897,0.94218,0.91026,0.84097,0.89466,0.53657,1.60872,0.66751,1.66054,0.0007921,0.0007921,0.0007921
44,1142.64,0.6738,0.38381,0.94582,0.88963,0.84205,0.88863,0.53612,1.64124,0.69121,1.73571,0.00078715,0.00078715,0.00078715
45,1168.4,0.6786,0.38682,0.94526,0.91054,0.83887,0.88922,0.53538,1.62821,0.69666,1.71315,0.0007822,0.0007822,0.0007822
46,1194.25,0.67296,0.38026,0.94014,0.91393,0.82728,0.8839,0.54013,1.60209,0.67089,1.61806,0.00077725,0.00077725,0.00077725
47,1220.1,0.66957,0.38438,0.94241,0.90489,0.84811,0.885,0.53375,1.56073,0.66156,1.56583,0.0007723,0.0007723,0.0007723
48,1245.94,0.65812,0.37646,0.93738,0.90775,0.84608,0.88665,0.53726,1.66019,0.67141,1.6987,0.00076735,0.00076735,0.00076735
49,1271.78,0.66241,0.37789,0.93821,0.9015,0.84612,0.8884,0.54388,1.60443,0.67162,1.66213,0.0007624,0.0007624,0.0007624
50,1297.63,0.66748,0.37816,0.93918,0.90336,0.82581,0.88299,0.53139,1.6369,0.67891,1.67372,0.00075745,0.00075745,0.00075745
51,1323.48,0.65644,0.36898,0.93721,0.9127,0.82072,0.88141,0.53963,1.55937,0.66953,1.66129,0.0007525,0.0007525,0.0007525
52,1349.39,0.64202,0.36505,0.93058,0.90155,0.8515,0.89386,0.54091,1.62424,0.67593,1.62246,0.00074755,0.00074755,0.00074755
53,1375.3,0.65416,0.37357,0.93189,0.90502,0.83119,0.88035,0.53623,1.60384,0.69057,1.66101,0.0007426,0.0007426,0.0007426
54,1401.22,0.6567,0.37096,0.939,0.93304,0.8338,0.89217,0.54109,1.57416,0.65743,1.61154,0.00073765,0.00073765,0.00073765
55,1426.98,0.648,0.37,0.93708,0.92655,0.84359,0.90033,0.53656,1.58946,0.6815,1.61181,0.0007327,0.0007327,0.0007327
56,1452.87,0.65957,0.37443,0.93546,0.90149,0.84394,0.89412,0.54333,1.54544,0.70432,1.62345,0.00072775,0.00072775,0.00072775
57,1478.7,0.64845,0.36701,0.93673,0.92029,0.85187,0.89297,0.54806,1.55523,0.68096,1.58443,0.0007228,0.0007228,0.0007228
58,1504.55,0.63465,0.36099,0.92755,0.92272,0.83547,0.90025,0.54939,1.55587,0.68241,1.6271,0.00071785,0.00071785,0.00071785
59,1530.67,0.63224,0.35862,0.92655,0.92039,0.84215,0.89746,0.55401,1.54788,0.67541,1.60874,0.0007129,0.0007129,0.0007129
60,1556.49,0.63854,0.36361,0.92507,0.91322,0.84388,0.89272,0.5371,1.57489,0.69816,1.6936,0.00070795,0.00070795,0.00070795
61,1582.38,0.64135,0.36409,0.93062,0.90623,0.85015,0.8918,0.54369,1.63524,0.68519,1.7009,0.000703,0.000703,0.000703
62,1608.27,0.64509,0.36303,0.93046,0.90899,0.83878,0.89386,0.5477,1.59824,0.67769,1.69724,0.00069805,0.00069805,0.00069805
63,1634.15,0.63238,0.35641,0.93228,0.89321,0.85665,0.89695,0.54413,1.54926,0.63129,1.63929,0.0006931,0.0006931,0.0006931
64,1660.05,0.63015,0.35735,0.9274,0.91002,0.85807,0.90354,0.54628,1.52365,0.63127,1.59951,0.00068815,0.00068815,0.00068815
65,1686.38,0.62352,0.35479,0.92579,0.91753,0.83296,0.89418,0.54334,1.54743,0.66762,1.64959,0.0006832,0.0006832,0.0006832
66,1712.27,0.61654,0.35535,0.92522,0.91764,0.82221,0.88517,0.54743,1.54579,0.64531,1.6477,0.00067825,0.00067825,0.00067825
67,1738.23,0.62209,0.35687,0.9269,0.89725,0.86805,0.89676,0.545,1.54663,0.631,1.61503,0.0006733,0.0006733,0.0006733
68,1764.08,0.61865,0.35811,0.92105,0.91283,0.82975,0.88826,0.54625,1.5585,0.64816,1.63916,0.00066835,0.00066835,0.00066835
69,1790,0.63155,0.35918,0.92593,0.91865,0.83669,0.89414,0.54712,1.57748,0.67841,1.64997,0.0006634,0.0006634,0.0006634
70,1815.81,0.61847,0.35177,0.92163,0.89868,0.84404,0.89101,0.55335,1.5513,0.65847,1.65414,0.00065845,0.00065845,0.00065845
71,1841.67,0.6172,0.34976,0.92101,0.89597,0.85231,0.88663,0.54446,1.54782,0.63598,1.64134,0.0006535,0.0006535,0.0006535
72,1867.46,0.61269,0.34398,0.92107,0.90433,0.8392,0.8834,0.54696,1.57347,0.66213,1.6333,0.00064855,0.00064855,0.00064855
73,1893.4,0.61515,0.3473,0.92302,0.90193,0.85305,0.89409,0.5407,1.59725,0.66028,1.69833,0.0006436,0.0006436,0.0006436
74,1919.27,0.61352,0.35144,0.9172,0.88698,0.85346,0.8883,0.54436,1.59263,0.65184,1.68217,0.00063865,0.00063865,0.00063865
75,1944.98,0.60642,0.35019,0.92217,0.90992,0.83239,0.89075,0.53748,1.57588,0.66112,1.66835,0.0006337,0.0006337,0.0006337
76,1970.78,0.61432,0.35011,0.91816,0.92626,0.83496,0.90271,0.54958,1.53615,0.64556,1.63495,0.00062875,0.00062875,0.00062875
77,1996.65,0.59817,0.34116,0.91657,0.91641,0.85331,0.89554,0.5408,1.58951,0.66067,1.69847,0.0006238,0.0006238,0.0006238
78,2022.52,0.59794,0.33732,0.91753,0.9152,0.85263,0.89335,0.54649,1.53622,0.6542,1.61756,0.00061885,0.00061885,0.00061885
79,2048.35,0.5966,0.33965,0.91697,0.91872,0.84589,0.89543,0.54285,1.59469,0.65555,1.68617,0.0006139,0.0006139,0.0006139
80,2074.16,0.5897,0.33992,0.91135,0.89795,0.87378,0.90351,0.5465,1.5912,0.66784,1.72018,0.00060895,0.00060895,0.00060895
81,2100.2,0.60027,0.34332,0.92127,0.88539,0.86538,0.89618,0.55085,1.55622,0.67169,1.69159,0.000604,0.000604,0.000604
82,2126.05,0.59787,0.34506,0.92098,0.89773,0.85148,0.88722,0.54622,1.55575,0.67023,1.63582,0.00059905,0.00059905,0.00059905
83,2151.89,0.60275,0.33959,0.92103,0.91677,0.84614,0.89202,0.55012,1.56041,0.64434,1.69914,0.0005941,0.0005941,0.0005941
84,2177.87,0.60534,0.34164,0.91321,0.88691,0.85227,0.88309,0.54854,1.54522,0.64763,1.66912,0.00058915,0.00058915,0.00058915
85,2203.75,0.59453,0.33847,0.91325,0.9002,0.86287,0.89833,0.56042,1.54036,0.63944,1.68674,0.0005842,0.0005842,0.0005842
86,2229.6,0.59699,0.34224,0.91812,0.90336,0.86022,0.89909,0.54559,1.56789,0.66032,1.72691,0.00057925,0.00057925,0.00057925
87,2255.42,0.58327,0.33658,0.90886,0.88174,0.85848,0.89072,0.55202,1.56104,0.66487,1.70935,0.0005743,0.0005743,0.0005743
88,2281.19,0.59094,0.33884,0.91755,0.91713,0.85565,0.90221,0.54924,1.55004,0.66001,1.66333,0.00056935,0.00056935,0.00056935
89,2307.04,0.58359,0.33336,0.90667,0.8977,0.85334,0.89361,0.54431,1.53443,0.64414,1.69843,0.0005644,0.0005644,0.0005644
90,2332.87,0.5805,0.33297,0.91208,0.89786,0.85178,0.89214,0.55064,1.54878,0.6413,1.68294,0.00055945,0.00055945,0.00055945
91,2358.75,0.58404,0.33443,0.91062,0.8904,0.86159,0.89173,0.54844,1.54813,0.63411,1.68999,0.0005545,0.0005545,0.0005545
92,2384.57,0.57701,0.32906,0.90972,0.91488,0.83732,0.89546,0.5508,1.56805,0.64716,1.75348,0.00054955,0.00054955,0.00054955
93,2410.48,0.58812,0.33021,0.91448,0.91545,0.849,0.90376,0.55095,1.60131,0.6529,1.75473,0.0005446,0.0005446,0.0005446
94,2436.82,0.5681,0.32638,0.90144,0.88605,0.85713,0.88984,0.55345,1.58738,0.66026,1.73091,0.00053965,0.00053965,0.00053965
95,2462.67,0.58148,0.33462,0.91112,0.92408,0.83711,0.89386,0.54658,1.55599,0.6234,1.7078,0.0005347,0.0005347,0.0005347
96,2488.53,0.567,0.32335,0.90288,0.91852,0.84364,0.903,0.55828,1.56877,0.63119,1.77531,0.00052975,0.00052975,0.00052975
97,2514.74,0.56614,0.32243,0.904,0.91251,0.85367,0.90272,0.54946,1.58339,0.66205,1.74647,0.0005248,0.0005248,0.0005248
98,2540.6,0.56751,0.32697,0.9033,0.91885,0.84202,0.90415,0.55575,1.56958,0.63172,1.73016,0.00051985,0.00051985,0.00051985
99,2566.63,0.56757,0.32389,0.91007,0.92411,0.83161,0.89701,0.56008,1.53958,0.64136,1.68258,0.0005149,0.0005149,0.0005149
100,2592.54,0.5613,0.3248,0.90837,0.89446,0.85959,0.89233,0.55013,1.55927,0.65537,1.75617,0.00050995,0.00050995,0.00050995
101,2618.36,0.56106,0.32312,0.90348,0.90285,0.86954,0.90492,0.54704,1.5473,0.63597,1.73077,0.000505,0.000505,0.000505
102,2644.23,0.5627,0.32359,0.90325,0.90948,0.84297,0.89753,0.55025,1.59494,0.69129,1.78432,0.00050005,0.00050005,0.00050005
103,2670.1,0.57124,0.33298,0.9045,0.90934,0.84681,0.89656,0.55326,1.59174,0.65038,1.799,0.0004951,0.0004951,0.0004951
104,2695.92,0.56042,0.32151,0.90474,0.90869,0.85818,0.89435,0.55839,1.5632,0.67081,1.75944,0.00049015,0.00049015,0.00049015
105,2721.74,0.537,0.31185,0.90171,0.91688,0.85928,0.90434,0.5619,1.56789,0.65198,1.7388,0.0004852,0.0004852,0.0004852
106,2748.06,0.55528,0.32139,0.9018,0.91558,0.85423,0.89854,0.55241,1.60495,0.66653,1.80328,0.00048025,0.00048025,0.00048025
107,2773.86,0.55299,0.31929,0.8964,0.90833,0.8516,0.89562,0.553,1.56814,0.64628,1.74929,0.0004753,0.0004753,0.0004753
108,2799.68,0.54056,0.31188,0.89779,0.91451,0.85739,0.90313,0.55999,1.55343,0.64323,1.725,0.00047035,0.00047035,0.00047035
109,2825.52,0.54686,0.31556,0.89842,0.9175,0.8437,0.89821,0.55142,1.56813,0.67574,1.70399,0.0004654,0.0004654,0.0004654
110,2851.43,0.55294,0.32125,0.89887,0.90813,0.84098,0.88893,0.55526,1.50956,0.64208,1.69294,0.00046045,0.00046045,0.00046045
