                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7236,                 4.4225,                 4.1699,                 3.5705,                 6.2607,                 4.2093,                  7e-05,                0.01559,                0.00033,                  5e-05,                 4.1206,                 4.5623,                 4.1575,                 4.0722,                 8.3418,                 4.1632,             0.00032353,             0.00032353,             0.00032353
                      2,                  3.333,                 3.5235,                 3.7034,                  3.058,                 4.8555,                  3.624,                  6e-05,                0.01462,                0.00018,                  5e-05,                 4.2395,                 4.6543,                 4.2372,                 4.1915,                 7.9906,                 4.2312,             0.00065036,             0.00065036,             0.00065036
                      3,                 2.9805,                  3.082,                 3.2698,                  2.693,                 4.0103,                 3.0536,                0.00264,                0.08507,                0.00737,                0.00207,                 3.9302,                 4.2524,                 3.9069,                  3.436,                 5.9106,                 3.5789,             0.00097059,             0.00097059,             0.00097059
                      4,                 2.7326,                 2.7811,                 2.9574,                 2.5051,                 3.5154,                 2.6457,                0.35905,                  0.122,                0.13085,                0.05158,                   2.69,                 2.8963,                 2.9452,                 2.4964,                 3.8267,                 2.6184,              0.0009703,              0.0009703,              0.0009703
                      5,                 2.5447,                 2.5227,                 2.7266,                 2.3469,                 3.1329,                 2.3819,                0.33787,                0.29283,                0.23067,                0.09761,                 2.4819,                   2.75,                 2.7177,                  2.337,                 3.2983,                 2.3418,              0.0009703,              0.0009703,              0.0009703
                      6,                 2.3504,                 2.2876,                 2.5333,                 2.1974,                 2.8673,                 2.2067,                0.30046,                0.26087,                0.21628,                0.08393,                 2.5959,                  2.971,                 2.7183,                 2.3777,                 3.3139,                 2.3481,              0.0009604,              0.0009604,              0.0009604
                      7,                 2.2159,                 2.0812,                 2.3765,                  2.092,                 2.6283,                 2.0829,                 0.4711,                 0.3931,                0.37123,                0.16503,                 2.2177,                 2.7821,                 2.3552,                 2.1427,                  3.007,                 2.0465,              0.0009505,              0.0009505,              0.0009505
                      8,                 2.1081,                 1.9248,                 2.2608,                 2.0284,                  2.444,                 1.9802,                0.50922,                0.39678,                0.39748,                0.17919,                 2.1372,                 2.2091,                 2.2549,                 2.1253,                 2.4952,                 1.9956,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.9858,                 1.7356,                 2.1252,                 1.9434,                 2.2322,                 1.8928,                0.53266,                0.45722,                0.45865,                0.21366,                 2.0789,                 2.0258,                 2.2195,                 2.0436,                 2.3932,                 1.9895,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.9559,                 1.6807,                  2.067,                 1.9492,                 2.1554,                 1.8554,                0.54083,                0.52068,                0.53064,                0.26232,                 1.9646,                 1.6164,                 2.0915,                 1.9719,                 1.9391,                 1.9042,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.8923,                  1.612,                 2.0223,                 1.8947,                 2.0712,                 1.8304,                0.65389,                 0.4939,                0.55701,                 0.2812,                  1.967,                 1.4792,                  2.051,                 1.9906,                 1.8183,                 1.8167,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.8498,                 1.5622,                 1.9635,                 1.8637,                 2.0142,                 1.7945,                0.63508,                0.51279,                0.58551,                0.29501,                 1.9215,                 1.5555,                 1.9555,                 1.9246,                 1.8962,                 1.7842,               0.000901,               0.000901,               0.000901
                     13,                 1.7986,                 1.4831,                 1.9025,                 1.8406,                 1.8957,                 1.7581,                0.68274,                0.53123,                0.61034,                 0.3015,                 1.8504,                 1.5121,                 1.8824,                  1.925,                 1.7418,                 1.7461,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.7751,                 1.4492,                 1.8838,                  1.824,                 1.8486,                 1.7346,                0.71851,                0.54383,                0.63847,                0.31962,                 1.9398,                 1.3276,                 1.9886,                   1.89,                 1.7119,                 1.8107,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.7493,                 1.4078,                 1.8548,                 1.7938,                 1.8022,                 1.7265,                0.67656,                0.58008,                0.65545,                0.33485,                 1.8365,                 1.3497,                 1.8781,                 1.9082,                 1.5641,                 1.6888,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.7107,                 1.3745,                 1.8259,                  1.753,                 1.7659,                 1.7011,                0.69869,                0.60292,                0.67225,                0.34564,                 1.9215,                 1.3035,                  1.933,                 1.9453,                 1.5357,                 1.7607,              0.0008614,              0.0008614,              0.0008614
                     17,                 1.7207,                  1.324,                 1.8024,                 1.7854,                 1.6791,                 1.6819,                0.70774,                 0.6102,                0.69264,                0.36025,                 1.8277,                 1.2338,                 1.8266,                 1.8742,                 1.4416,                 1.6703,              0.0008515,              0.0008515,              0.0008515
                     18,                 1.6823,                 1.2839,                  1.757,                 1.7577,                 1.6374,                 1.6397,                0.73406,                0.58653,                0.67292,                0.36394,                  1.754,                 1.2552,                 1.7924,                  1.859,                 1.5513,                 1.6677,              0.0008416,              0.0008416,              0.0008416
                     19,                 1.6551,                 1.2524,                 1.7528,                 1.7231,                 1.5931,                 1.6372,                0.69284,                0.62439,                0.68399,                0.36462,                 1.8177,                 1.1876,                 1.8467,                 1.9043,                 1.4206,                 1.7084,              0.0008317,              0.0008317,              0.0008317
                     20,                 1.6513,                 1.2299,                 1.7396,                 1.7297,                 1.5466,                 1.6369,                 0.7554,                0.62313,                0.70274,                0.37479,                 1.8358,                 1.1898,                 1.8089,                 1.8815,                 1.3609,                 1.6312,              0.0008218,              0.0008218,              0.0008218
                     21,                 1.6137,                 1.2044,                 1.7013,                 1.7023,                 1.5081,                 1.6081,                0.71839,                0.64027,                0.70813,                0.37362,                 1.8254,                  1.188,                 1.8243,                 1.7903,                 1.5444,                 1.6648,              0.0008119,              0.0008119,              0.0008119
                     22,                  1.608,                 1.2085,                 1.7043,                 1.6863,                 1.5125,                 1.6137,                0.74179,                0.61811,                0.70145,                0.37486,                 1.8143,                 1.2049,                 1.8076,                 1.8122,                 1.4757,                 1.6486,               0.000802,               0.000802,               0.000802
                     23,                 1.5997,                 1.1814,                 1.6938,                  1.685,                 1.4749,                 1.5972,                0.76071,                0.60954,                0.71626,                0.37063,                 1.7883,                 1.1526,                 1.8075,                  1.908,                 1.3391,                 1.7031,              0.0007921,              0.0007921,              0.0007921
                     24,                 1.5836,                 1.1655,                 1.6873,                 1.6775,                 1.4528,                 1.6012,                0.73576,                0.64098,                0.71971,                0.38762,                 1.8177,                  1.177,                 1.8107,                 1.9565,                 1.4251,                 1.7376,              0.0007822,              0.0007822,              0.0007822
                     25,                 1.5696,                 1.1316,                 1.6524,                  1.668,                  1.427,                 1.5662,                0.72894,                0.67365,                0.73069,                0.38835,                 1.7875,                 1.1226,                 1.7964,                 1.8652,                 1.3805,                 1.6553,              0.0007723,              0.0007723,              0.0007723
