               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              3.2214,              5.5463,               3.075,           0.0086221,            0.010336,           0.0033342,           0.0010628,                   0,                   0,                   0,            0.070448,           0.0032836,           0.0032836
                   1,              2.5482,              4.4045,              2.4944,             0.61127,            0.081395,             0.10211,            0.049217,                   0,                   0,                   0,            0.040375,           0.0065441,           0.0065441
                   2,              2.2438,              3.0495,              2.2171,             0.30593,             0.36683,             0.31435,             0.16103,                   0,                   0,                   0,            0.010229,           0.0097313,           0.0097313
                   3,               2.035,              2.1954,              2.0288,              0.4849,              0.5266,             0.48133,             0.26307,                   0,                   0,                   0,             0.00967,             0.00967,             0.00967
                   4,              1.9677,              1.7245,              1.9501,              0.6798,             0.57655,              0.6561,             0.36557,                   0,                   0,                   0,             0.00967,             0.00967,             0.00967
                   5,              1.8999,              1.4645,              1.8916,             0.82865,             0.65201,             0.74472,             0.42738,                   0,                   0,                   0,             0.00956,             0.00956,             0.00956
                   6,              1.8935,              1.4163,              1.8738,             0.85121,             0.73531,             0.81261,             0.46783,                   0,                   0,                   0,             0.00945,             0.00945,             0.00945
                   7,              1.8449,               1.326,              1.8542,             0.86818,             0.74976,             0.82004,             0.46972,                   0,                   0,                   0,             0.00934,             0.00934,             0.00934
                   8,              1.7901,              1.2541,              1.8077,             0.89245,             0.68394,             0.80215,             0.45423,                   0,                   0,                   0,             0.00923,             0.00923,             0.00923
                   9,              1.7961,              1.2091,              1.7937,             0.87288,              0.7693,             0.84186,              0.4869,                   0,                   0,                   0,             0.00912,             0.00912,             0.00912
                  10,               1.776,              1.1653,              1.7884,              0.9104,             0.77739,             0.86213,             0.50643,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  11,              1.7794,               1.173,              1.7773,             0.86002,             0.79949,             0.85658,             0.51252,                   0,                   0,                   0,              0.0089,              0.0089,              0.0089
                  12,              1.7415,              1.1373,              1.7781,             0.89021,              0.7977,             0.86926,             0.50537,                   0,                   0,                   0,             0.00879,             0.00879,             0.00879
                  13,              1.7476,              1.1094,              1.7479,             0.88032,             0.78609,             0.86067,             0.51183,                   0,                   0,                   0,             0.00868,             0.00868,             0.00868
                  14,              1.7593,              1.1191,               1.764,             0.87113,             0.80996,             0.87753,             0.51747,                   0,                   0,                   0,             0.00857,             0.00857,             0.00857
                  15,                1.77,              1.1219,              1.7584,             0.88988,             0.80535,             0.87074,             0.52456,                   0,                   0,                   0,             0.00846,             0.00846,             0.00846
                  16,              1.7285,               1.076,              1.7574,              0.8805,             0.79822,             0.87639,             0.52038,                   0,                   0,                   0,             0.00835,             0.00835,             0.00835
                  17,              1.7099,              1.0559,              1.7404,             0.88616,             0.81621,             0.87532,             0.53557,                   0,                   0,                   0,             0.00824,             0.00824,             0.00824
                  18,              1.7124,              1.0501,              1.7358,             0.91585,             0.80687,             0.88025,             0.53207,                   0,                   0,                   0,             0.00813,             0.00813,             0.00813
                  19,              1.7093,                1.03,              1.7208,             0.92064,             0.81649,             0.88323,              0.5361,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  20,               1.698,              1.0447,              1.7277,             0.89653,             0.82993,             0.88456,             0.53242,                   0,                   0,                   0,             0.00791,             0.00791,             0.00791
                  21,              1.7071,              1.0233,              1.7266,              0.8613,              0.8603,             0.88978,             0.52737,                   0,                   0,                   0,              0.0078,              0.0078,              0.0078
                  22,              1.6861,              1.0222,              1.6982,             0.92399,             0.81203,             0.88786,             0.53395,                   0,                   0,                   0,             0.00769,             0.00769,             0.00769
                  23,              1.6809,              1.0084,              1.7025,             0.88306,             0.84003,             0.88632,             0.53003,                   0,                   0,                   0,             0.00758,             0.00758,             0.00758
                  24,              1.6685,             0.99398,              1.7023,             0.89659,             0.82133,             0.89023,             0.53792,                   0,                   0,                   0,             0.00747,             0.00747,             0.00747
                  25,               1.689,              1.0127,              1.6989,             0.92387,              0.8108,             0.88483,              0.5322,                   0,                   0,                   0,             0.00736,             0.00736,             0.00736
                  26,              1.6784,             0.97863,              1.7014,             0.89465,              0.8282,             0.88597,             0.53886,                   0,                   0,                   0,             0.00725,             0.00725,             0.00725
