epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.7721,0.08891,0.28851,0.88874,0.9055,0.84446,0.9002,0.56124,0.57896,0.61196,1.71853,0.000323529,0.000323529,0.000323529
2,110.389,0.09389,0.30099,0.88779,0.89691,0.85132,0.90015,0.56685,0.59151,0.64034,1.75576,0.000655237,0.000655237,0.000655237
3,135.715,0.10429,0.32417,0.89762,0.90852,0.82952,0.88901,0.54651,0.63928,0.69018,1.83257,0.000985295,0.000985295,0.000985295
4,161.067,0.1141,0.34266,0.91028,0.90704,0.80657,0.88116,0.53324,0.60341,0.66599,1.66171,0.000992575,0.000992575,0.000992575
5,186.151,0.11936,0.35216,0.91625,0.90304,0.81243,0.8796,0.53587,0.63537,0.66128,1.76807,0.0009901,0.0009901,0.0009901
6,211.089,0.12167,0.3597,0.91596,0.89377,0.85844,0.89485,0.53363,0.62392,0.67531,1.77381,0.000987625,0.000987625,0.000987625
7,236.252,0.12215,0.35624,0.9247,0.87388,0.84975,0.88939,0.53472,0.65169,0.66296,1.75494,0.00098515,0.00098515,0.00098515
8,261.273,0.12399,0.35619,0.92446,0.88661,0.8396,0.88967,0.53041,0.64413,0.67218,1.82902,0.000982675,0.000982675,0.000982675
9,286.362,0.13036,0.36649,0.92861,0.9006,0.82404,0.88135,0.53045,0.63014,0.67432,1.79033,0.0009802,0.0009802,0.0009802
10,311.391,0.13253,0.36471,0.92928,0.88848,0.84901,0.88517,0.53477,0.64796,0.69974,1.78341,0.000977725,0.000977725,0.000977725
11,336.536,0.1309,0.36293,0.92343,0.88131,0.84999,0.87936,0.52979,0.63888,0.67271,1.77529,0.00097525,0.00097525,0.00097525
12,361.605,0.13279,0.36641,0.92618,0.9151,0.84138,0.87962,0.52837,0.66443,0.68151,1.78071,0.000972775,0.000972775,0.000972775
13,386.534,0.13038,0.36095,0.93018,0.88138,0.85052,0.88576,0.53194,0.68469,0.6651,1.82557,0.0009703,0.0009703,0.0009703
14,411.613,0.13506,0.36273,0.9305,0.88176,0.82587,0.87756,0.52296,0.66002,0.65789,1.7377,0.000967825,0.000967825,0.000967825
15,436.701,0.13968,0.37271,0.92963,0.9129,0.82242,0.88789,0.53464,0.67608,0.69838,1.82202,0.00096535,0.00096535,0.00096535
16,461.756,0.13359,0.35621,0.92554,0.89822,0.81253,0.8774,0.53393,0.65686,0.76339,1.69251,0.000962875,0.000962875,0.000962875
17,486.918,0.13641,0.36206,0.9254,0.90763,0.8414,0.89346,0.54085,0.67543,0.67419,1.69025,0.0009604,0.0009604,0.0009604
18,512.009,0.13506,0.35138,0.92973,0.90902,0.84238,0.89473,0.53502,0.66477,0.67419,1.73402,0.000957925,0.000957925,0.000957925
19,537.099,0.13641,0.3621,0.92675,0.90713,0.81448,0.88573,0.53417,0.62892,0.6993,1.69536,0.00095545,0.00095545,0.00095545
20,562.217,0.13311,0.35984,0.92605,0.89952,0.84575,0.89178,0.53665,0.66431,0.66167,1.72143,0.000952975,0.000952975,0.000952975
21,587.373,0.13398,0.35516,0.9241,0.90099,0.82771,0.88368,0.52409,0.6945,0.69394,1.74936,0.0009505,0.0009505,0.0009505
22,612.446,0.1362,0.35855,0.92625,0.91342,0.83827,0.89419,0.53318,0.68078,0.67788,1.7761,0.000948025,0.000948025,0.000948025
23,637.581,0.14302,0.37148,0.93044,0.92804,0.82461,0.89697,0.53755,0.71456,0.66709,1.85101,0.00094555,0.00094555,0.00094555
24,662.595,0.13502,0.35721,0.92595,0.91218,0.82859,0.88276,0.53478,0.71714,0.66101,1.82528,0.000943075,0.000943075,0.000943075
25,687.653,0.14156,0.36163,0.92733,0.89457,0.84968,0.88555,0.53519,0.7553,0.73345,1.78862,0.0009406,0.0009406,0.0009406
26,712.887,0.14094,0.36159,0.9337,0.89226,0.85397,0.88964,0.53462,0.72096,0.70362,1.80733,0.000938125,0.000938125,0.000938125
27,737.989,0.1434,0.36325,0.9337,0.91566,0.83802,0.88427,0.53797,0.72122,0.68521,1.7795,0.00093565,0.00093565,0.00093565
28,763.174,0.1404,0.36003,0.9296,0.90757,0.82325,0.8864,0.53223,0.74336,0.70115,1.84845,0.000933175,0.000933175,0.000933175
29,788.388,0.13673,0.35375,0.92573,0.8993,0.8591,0.88965,0.54226,0.6814,0.68438,1.73179,0.0009307,0.0009307,0.0009307
30,813.536,0.13913,0.35896,0.93041,0.9017,0.8455,0.90014,0.54793,0.6989,0.6734,1.74486,0.000928225,0.000928225,0.000928225
31,838.707,0.14756,0.36526,0.92716,0.9126,0.83605,0.89713,0.536,0.70077,0.64377,1.7608,0.00092575,0.00092575,0.00092575
32,863.733,0.13843,0.35607,0.92327,0.92525,0.83758,0.89317,0.54405,0.71933,0.67715,1.79272,0.000923275,0.000923275,0.000923275
33,888.853,0.14241,0.35971,0.92515,0.9368,0.83795,0.90135,0.53945,0.64843,0.67436,1.70728,0.0009208,0.0009208,0.0009208
34,913.908,0.14341,0.35807,0.92969,0.93639,0.82656,0.8919,0.52588,0.69158,0.668,1.65992,0.000918325,0.000918325,0.000918325
35,939.145,0.15229,0.3665,0.93023,0.90642,0.85221,0.89468,0.54195,0.70214,0.66431,1.73456,0.00091585,0.00091585,0.00091585
36,964.212,0.14457,0.35819,0.92973,0.89964,0.83886,0.87953,0.52963,0.7242,0.68757,1.77028,0.000913375,0.000913375,0.000913375
37,989.395,0.14196,0.35373,0.92652,0.91539,0.84421,0.89786,0.5429,0.70493,0.71563,1.64833,0.0009109,0.0009109,0.0009109
38,1014.53,0.14394,0.35848,0.92405,0.92255,0.82732,0.89326,0.53791,0.6681,0.69957,1.68593,0.000908425,0.000908425,0.000908425
39,1039.67,0.14649,0.35916,0.92862,0.89612,0.84487,0.89066,0.53308,0.70916,0.69029,1.75577,0.00090595,0.00090595,0.00090595
40,1064.72,0.14575,0.35959,0.92686,0.87968,0.85233,0.88904,0.52709,0.74868,0.72415,1.81478,0.000903475,0.000903475,0.000903475
41,1089.78,0.1466,0.35442,0.929,0.91206,0.81059,0.88073,0.54002,0.82,0.71373,1.87809,0.000901,0.000901,0.000901
42,1114.83,0.14331,0.34976,0.92537,0.89804,0.83468,0.89242,0.54082,0.74418,0.67424,1.83433,0.000898525,0.000898525,0.000898525
43,1139.93,0.13965,0.34628,0.92182,0.9081,0.83747,0.88298,0.53716,0.74873,0.67365,1.84292,0.00089605,0.00089605,0.00089605
44,1165.01,0.14715,0.35518,0.92773,0.89077,0.85046,0.88788,0.54004,0.73107,0.66301,1.74952,0.000893575,0.000893575,0.000893575
45,1189.98,0.14916,0.35071,0.92664,0.90308,0.84067,0.8914,0.54361,0.74532,0.69458,1.83168,0.0008911,0.0008911,0.0008911
46,1215.01,0.14576,0.34932,0.92117,0.89213,0.86664,0.89615,0.53985,0.70936,0.65239,1.73205,0.000888625,0.000888625,0.000888625
47,1240.07,0.14902,0.35601,0.92658,0.90743,0.83437,0.88545,0.54549,0.7188,0.66454,1.74752,0.00088615,0.00088615,0.00088615
48,1265.18,0.14428,0.34708,0.92056,0.88228,0.84154,0.89401,0.54682,0.73571,0.65675,1.7485,0.000883675,0.000883675,0.000883675
49,1290.22,0.14794,0.35177,0.9248,0.88714,0.85346,0.89753,0.53994,0.72744,0.66147,1.74964,0.0008812,0.0008812,0.0008812
50,1315.34,0.14802,0.35222,0.92364,0.91719,0.83209,0.89821,0.53304,0.71186,0.68093,1.70546,0.000878725,0.000878725,0.000878725
51,1340.44,0.14593,0.348,0.92389,0.89689,0.82659,0.88541,0.53016,0.71009,0.65668,1.70534,0.00087625,0.00087625,0.00087625
52,1365.54,0.14135,0.34427,0.92041,0.9179,0.83108,0.89375,0.54079,0.69296,0.6484,1.7123,0.000873775,0.000873775,0.000873775
53,1390.63,0.14873,0.35171,0.92552,0.91209,0.8204,0.88731,0.54186,0.74508,0.69395,1.83307,0.0008713,0.0008713,0.0008713
