                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.57587,                0.33388,                0.90281,                0.90497,                0.84431,                0.89588,                0.54541,                 1.5935,                0.64375,                 1.5993,             0.00032353,             0.00032353,             0.00032353
                      2,                0.56092,                 0.3285,                0.89314,                0.93412,                0.81798,                0.90198,                 0.5528,                 1.6173,                0.69589,                 1.6292,             0.00065524,             0.00065524,             0.00065524
                      3,                0.56266,                0.32809,                0.89564,                0.92939,                0.83629,                0.89904,                0.54607,                 1.5977,                0.70646,                 1.6081,             0.00098529,             0.00098529,             0.00098529
                      4,                0.57764,                0.33647,                0.90446,                0.89319,                0.84039,                0.88754,                0.53345,                   1.63,                0.76495,                 1.5973,             0.00099258,             0.00099258,             0.00099258
                      5,                0.59542,                0.34468,                0.90761,                0.90922,                0.82595,                 0.8834,                0.55006,                 1.5901,                0.73479,                 1.5894,              0.0009901,              0.0009901,              0.0009901
                      6,                0.58945,                 0.3417,                0.90621,                0.92268,                0.80927,                0.89327,                0.54208,                 1.6392,                0.73604,                 1.6595,             0.00098763,             0.00098763,             0.00098763
                      7,                0.59147,                0.34386,                0.90569,                0.89445,                0.83479,                 0.8848,                0.53849,                  1.647,                0.71932,                 1.5949,             0.00098515,             0.00098515,             0.00098515
                      8,                0.60867,                0.34915,                0.91289,                0.90445,                0.82483,                0.88406,                0.53546,                 1.5807,                0.71731,                 1.5723,             0.00098268,             0.00098268,             0.00098268
                      9,                0.59365,                0.34133,                0.90406,                0.91386,                0.81365,                 0.8785,                0.54284,                 1.5971,                  0.737,                 1.5942,              0.0009802,              0.0009802,              0.0009802
                     10,                0.59689,                0.34693,                 0.9025,                0.92534,                0.83695,                0.89305,                 0.5334,                 1.6337,                0.77999,                 1.5907,             0.00097773,             0.00097773,             0.00097773
                     11,                0.59791,                0.34754,                0.91347,                0.87816,                0.83124,                0.88829,                0.54192,                 1.6014,                0.67042,                 1.6062,             0.00097525,             0.00097525,             0.00097525
                     12,                0.60184,                0.34952,                0.91026,                0.88919,                0.84489,                0.88546,                0.53009,                 1.5751,                0.67763,                 1.6132,             0.00097278,             0.00097278,             0.00097278
                     13,                0.58219,                0.34034,                0.90607,                0.91738,                0.83782,                0.89264,                0.53858,                 1.6056,                0.70361,                  1.642,              0.0009703,              0.0009703,              0.0009703
                     14,                0.60656,                0.35161,                0.90619,                0.90172,                0.81312,                0.87915,                0.54034,                 1.6463,                0.74971,                 1.7065,             0.00096783,             0.00096783,             0.00096783
                     15,                0.59593,                0.34875,                0.90899,                0.89036,                0.82896,                0.87684,                0.53851,                 1.6142,                0.69955,                 1.6957,             0.00096535,             0.00096535,             0.00096535
                     16,                  0.594,                0.34916,                0.91321,                0.92719,                0.82259,                0.88571,                0.54243,                  1.641,                0.70164,                 1.6499,             0.00096288,             0.00096288,             0.00096288
                     17,                 0.5958,                0.34422,                0.90216,                0.91221,                0.83096,                0.88726,                0.54676,                 1.6053,                0.70308,                 1.6199,              0.0009604,              0.0009604,              0.0009604
                     18,                0.59937,                0.35004,                0.90918,                0.94275,                0.79798,                0.88205,                0.54283,                 1.6092,                0.71707,                 1.6355,             0.00095793,             0.00095793,             0.00095793
                     19,                0.58846,                0.34412,                0.90757,                0.91217,                0.81814,                 0.8808,                0.54234,                 1.6425,                0.72403,                 1.6579,             0.00095545,             0.00095545,             0.00095545
